year,fileName,logicalRoles,sizeBytes,modifiedAtUtc,sha256,pdfMagicValid,pageCount,textCharacterCount,sourcePath,destinationPath
2022,2022广州中考年报.pdf,exam_year_report,3894211,2023-09-13T00:25:24+00:00,b06d7c64a422852eb14c42b8d7ee434fc28f97f3a93964da340fd1283f1e7116,True,59,52267,D:\KQG_Data\guangzhou_physics_2015_2025\2022广州中考年报.pdf,D:\KQG_Data\source_materials\imported\guangzhou_physics_2015_2025\20260726-v2\raw\2022广州中考年报.pdf
2023,2023广州中考.pdf,exam_paper,820220,2026-04-27T11:33:25.605498+00:00,9422eb3c0542eeea3526717364de15288d74788c4a1348f64ff012233338acdc,True,8,4597,D:\KQG_Data\guangzhou_physics_2015_2025\2023广州中考.pdf,D:\KQG_Data\source_materials\imported\guangzhou_physics_2015_2025\20260726-v2\raw\2023广州中考.pdf
2023,2023广州中考_参考答案.pdf,answer_solution,185817,2026-05-03T08:23:37.261285+00:00,f7c33a3e4525912de855f34e1d40e2853aa228da6d5f74be91f0627520c7d36a,True,2,906,D:\KQG_Data\guangzhou_physics_2015_2025\2023广州中考_参考答案.pdf,D:\KQG_Data\source_materials\imported\guangzhou_physics_2015_2025\20260726-v2\raw\2023广州中考_参考答案.pdf
2023,2023广州中考年报.pdf,exam_year_report,4395760,2024-04-07T01:03:15+00:00,4d5885aa9f2dadead754d7f5124b6cd7535bc3cddc9bce53fcc6dbcdc913ecc7,True,58,50946,D:\KQG_Data\guangzhou_physics_2015_2025\2023广州中考年报.pdf,D:\KQG_Data\source_materials\imported\guangzhou_physics_2015_2025\20260726-v2\raw\2023广州中考年报.pdf
2024,2024广州中考.pdf,exam_paper,1649497,2026-04-27T11:34:06.927793+00:00,f6a3a77585343e30722ef5e09cda58795fa752e2d86c74d0dda3c89e159311ef,True,8,4797,D:\KQG_Data\guangzhou_physics_2015_2025\2024广州中考.pdf,D:\KQG_Data\source_materials\imported\guangzhou_physics_2015_2025\20260726-v2\raw\2024广州中考.pdf
2024,2024广州中考年报.pdf,exam_year_report,5039547,2025-04-29T09:29:22+00:00,509224044bc1ed8b7bbce9dda011c19e33a273e4033661a76792ce89c94fe07f,True,64,60493,D:\KQG_Data\guangzhou_physics_2015_2025\2024广州中考年报.pdf,D:\KQG_Data\source_materials\imported\guangzhou_physics_2015_2025\20260726-v2\raw\2024广州中考年报.pdf
2024,2024广州中考（解析版）.pdf,answer_solution,1291410,2026-05-03T08:23:44.061700+00:00,5b588bd2ed97be333da83a1f50031fe7f3adf66c8532506a481c97ed09adda95,True,17,10477,D:\KQG_Data\guangzhou_physics_2015_2025\2024广州中考（解析版）.pdf,D:\KQG_Data\source_materials\imported\guangzhou_physics_2015_2025\20260726-v2\raw\2024广州中考（解析版）.pdf
2025,2025广州中考.pdf,exam_paper,2357891,2026-04-27T11:34:35.146910+00:00,26c8aabc95cd2ffa67ed2ea873f13c9f2cb15d8e576ca2e4d4281f00f63e0fbe,True,8,4798,D:\KQG_Data\guangzhou_physics_2015_2025\2025广州中考.pdf,D:\KQG_Data\source_materials\imported\guangzhou_physics_2015_2025\20260726-v2\raw\2025广州中考.pdf
2025,2025广州中考年报.pdf,exam_year_report,3816950,2026-03-25T08:20:45+00:00,122fb00ee53e975eeeb9068a76a694747ccb5d23d89bb459a29d4c50de4a7c6f,True,51,50362,D:\KQG_Data\guangzhou_physics_2015_2025\2025广州中考年报.pdf,D:\KQG_Data\source_materials\imported\guangzhou_physics_2015_2025\20260726-v2\raw\2025广州中考年报.pdf
2025,2025广州中考（答案）.pdf,answer_solution,394067,2026-06-12T02:40:42+00:00,214bf640b640e4a0260380779942eb39cdaada8d86be39ef1befae36ce77b91d,True,3,1225,D:\KQG_Data\guangzhou_physics_2015_2025\2025广州中考（答案）.pdf,D:\KQG_Data\source_materials\imported\guangzhou_physics_2015_2025\20260726-v2\raw\2025广州中考（答案）.pdf
